product_name,product_price,product_descript,product_sizes,product_colours
Rocco Gym Tank,24.00,"Weights? Heavy Bag? Bikram? However you get sweaty, you’ll be prepared with the moisture-wicking all-purpose Rocco Gym Tank. The free-moving cut gives you maximum range of motion, with flatlock seams to eliminate chafing.","XS, S, M, L, XL",Blue
Sahara Leggings,75.00,"Contrast colors, full-length leggings, and opaque, high-stretch fabric define the Sahara. Flat-locked seams and quick-drying wicking properties prevent chafing. A deep elasticated waistband and carefully positioned seamlines create a flattering silhouette.","28, 29","Blue, Gray, Red"
Ryker LumaTech™ Tee (V-neck),28.00,"Don’t be fooled by its classic style; the Ryker LumaTech™ Tee embodies the future of performance apparel. Its featherweight blend of fabrics wicks away moisture to keep you cool and dry, whether racking up miles, hitting three pointers or strutting the boardwalk.","XS, S, M, L, XL","Black, Blue, Gray"
Ryker LumaTech™ Tee (Crew-neck),32.00,The crew-neck Ryker LumaTech™ Tee hides premium performance technology beneath unassuming looks. The featherweight blend of fabrics wicks away moisture to keep you cool and dry in every phase of your active life.,"XS, S, M, L, XL","Black, Blue, Red"
,69.00,,,
Premium Quality,20.00,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,
Polo,20.00,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",Blue,Blue
Portia Capri,49.00,"From yoga at dawn to evenings curled up with a book, our Portia Capri gives you the comfort and freedom to cruise through the day. The high-waisted design keeps you covered while you’re bending and stretching, while contrast stripes promise a dash of sporty style.","28, 29","Blue, Green, Orange"
,69.00,,,
Neve Studio Dance Jacket,69.00,"If you’re constantly on the move, the Neve Studio Dance Jacket is for you. It’s not just for dance, either, with a tight fit that works as a mid-layer. The reversible design makes it even more versatile.","XS, S, M, L, XL","Black, Blue, Orange"
Pierce Gym Short,27.00,"The Pierce Gym Short is similar to our Arcadio Gym Short, but designed with a fitted, tapered look. A flat waistband with an adjustable drawstring adds comfort, with zippered pockets for safe, easy storage.","32, 33, 34, 36","Black, Gray, Red"
Montana Wind Jacket,49.00,"Light-as-a-feather wind protection for runners, walkers and outdoor fitness buffs, the Montana Wind Jacket can be stuffed into your pocket for portable protection. Its stylish, move-with-you design makes it especially versatile.","XS, S, M, L, XL","Black, Green, Red"
Mona Pullover Hoodlie,57.00,"Whether you’re after energizing activity or eye-catching apparel, the Mona Pullover is what you want. You’ll stay warm and look fashionable, wherever you are.","XS, S, M, L, XL","Green, Orange, Purple"
,69.00,,,
Joust Duffle Bag,34.00,"The sporty Joust Duffle Bag can’t be beat – not in the gym, not on the luggage carousel, not anywhere. Big enough to haul a basketball or soccer ball and some sneakers with plenty of room to spare, it’s ideal for athletes with places to go.","Gym, Travel, Trail, Overnight",
Josie Yoga Jacket,56.25,"When your near future includes yoga, the cozy comfort of the Josie Yoga Jacket gets your mind and body ready. Stretchy CoolTech™ fabric with zipper pockets makes this jacket the right gear for studio time or teatime after.","XS, S, M, L, XL","Black, Blue, Gray"
Hera Pullover Hoodie,48.00,"Get ready to rule the studio and dominate the yoga mat in the Hera Pullover Hoodie, a cozy yet classy look for any level of yogi.","XS, S, M, L, XL","Blue, Green, Orange"
Helios Endurance Tank,32.00,"When training pushes your limits, you need gear that works harder than you. Our mesh Helio Training Tank is crafted from super-soft, ultra-lightweight fabric that stretches in all directions to follow your every move, on mat, court or street.","XS, S, M, L, XL",Blue
,69.00,,,
Flying Ninja,15.00,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,
Helios EverCool™ Tee,24.00,"Pumping iron or dialing the track, you’ve got cool comfort on your side in our short-sleeve Helios EverCool™ Tee. The fabric is infused with moisture-wicking technology that pulls sweat off your skin for speedy evaporation. Stretchy fabric gussets encourage ventilation while increasing your range of motion.","XS, S, M, L, XL","Black, Blue, Purple"
